Condition;Average;Standard deviation;Median;N
plain;1.385;0.039;1.384;49
experimental;9.301;1.276;8.992;49
control-customactionselection;7.867;1.928;7.319;49
control-defaultactionselection;8.341;3.549;7.328;49
